File Name,File Version,Update Date,Week Ending Date,Formatted Date,SSA Month,SSA Weeks in Month,SSA Quarter Date,Fiscal Year,Fiscal Quarter Number,Fiscal Week,Calendar Year,Calendar Quarter Number,Calendar Quarter Date,Notes
SSA-DATES1.csv,2,01/19/2021,1/10/2003,2003-01-10,2003-01,5,2003-03,2003,2003-2,15,2003,2003-1,2003-03,
SSA-DATES1.csv,2,01/19/2021,1/17/2003,2003-01-17,2003-01,5,2003-03,2003,2003-2,16,2003,2003-1,2003-03,
SSA-DATES1.csv,2,01/19/2021,1/24/2003,2003-01-24,2003-01,5,2003-03,2003,2003-2,17,2003,2003-1,2003-03,
SSA-DATES1.csv,2,01/19/2021,1/31/2003,2003-01-31,2003-01,5,2003-03,2003,2003-2,18,2003,2003-1,2003-03,
SSA-DATES1.csv,2,01/19/2021,2/7/2003,2003-02-07,2003-02,4,2003-03,2003,2003-2,19,2003,2003-1,2003-03,
SSA-DATES1.csv,2,01/19/2021,2/14/2003,2003-02-14,2003-02,4,2003-03,2003,2003-2,20,2003,2003-1,2003-03,
SSA-DATES1.csv,2,01/19/2021,2/21/2003,2003-02-21,2003-02,4,2003-03,2003,2003-2,21,2003,2003-1,2003-03,
SSA-DATES1.csv,2,01/19/2021,2/28/2003,2003-02-28,2003-02,4,2003-03,2003,2003-2,22,2003,2003-1,2003-03,
SSA-DATES1.csv,2,01/19/2021,3/7/2003,2003-03-07,2003-03,4,2003-03,2003,2003-2,23,2003,2003-1,2003-03,
SSA-DATES1.csv,2,01/19/2021,3/14/2003,2003-03-14,2003-03,4,2003-03,2003,2003-2,24,2003,2003-1,2003-03,
SSA-DATES1.csv,2,01/19/2021,3/21/2003,2003-03-21,2003-03,4,2003-03,2003,2003-2,25,2003,2003-1,2003-03,
SSA-DATES1.csv,2,01/19/2021,3/28/2003,2003-03-28,2003-03,4,2003-03,2003,2003-2,26,2003,2003-1,2003-03,
SSA-DATES1.csv,2,01/19/2021,4/4/2003,2003-04-04,2003-04,4,2003-06,2003,2003-3,27,2003,2003-2,2003-06,
SSA-DATES1.csv,2,01/19/2021,4/11/2003,2003-04-11,2003-04,4,2003-06,2003,2003-3,28,2003,2003-2,2003-06,
SSA-DATES1.csv,2,01/19/2021,4/18/2003,2003-04-18,2003-04,4,2003-06,2003,2003-3,29,2003,2003-2,2003-06,
SSA-DATES1.csv,2,01/19/2021,4/25/2003,2003-04-25,2003-04,4,2003-06,2003,2003-3,30,2003,2003-2,2003-06,
SSA-DATES1.csv,2,01/19/2021,5/2/2003,2003-05-02,2003-05,5,2003-06,2003,2003-3,31,2003,2003-2,2003-06,
SSA-DATES1.csv,2,01/19/2021,5/9/2003,2003-05-09,2003-05,5,2003-06,2003,2003-3,32,2003,2003-2,2003-06,
SSA-DATES1.csv,2,01/19/2021,5/16/2003,2003-05-16,2003-05,5,2003-06,2003,2003-3,33,2003,2003-2,2003-06,
SSA-DATES1.csv,2,01/19/2021,5/23/2003,2003-05-23,2003-05,5,2003-06,2003,2003-3,34,2003,2003-2,2003-06,
SSA-DATES1.csv,2,01/19/2021,5/30/2003,2003-05-30,2003-05,5,2003-06,2003,2003-3,35,2003,2003-2,2003-06,
SSA-DATES1.csv,2,01/19/2021,6/6/2003,2003-06-06,2003-06,4,2003-06,2003,2003-3,36,2003,2003-2,2003-06,
SSA-DATES1.csv,2,01/19/2021,6/13/2003,2003-06-13,2003-06,4,2003-06,2003,2003-3,37,2003,2003-2,2003-06,
SSA-DATES1.csv,2,01/19/2021,6/20/2003,2003-06-20,2003-06,4,2003-06,2003,2003-3,38,2003,2003-2,2003-06,
SSA-DATES1.csv,2,01/19/2021,6/27/2003,2003-06-27,2003-06,4,2003-06,2003,2003-3,39,2003,2003-2,2003-06,
SSA-DATES1.csv,2,01/19/2021,7/4/2003,2003-07-04,2003-07,4,2003-09,2003,2003-4,40,2003,2003-3,2003-09,
SSA-DATES1.csv,2,01/19/2021,7/11/2003,2003-07-11,2003-07,4,2003-09,2003,2003-4,41,2003,2003-3,2003-09,
SSA-DATES1.csv,2,01/19/2021,7/18/2003,2003-07-18,2003-07,4,2003-09,2003,2003-4,42,2003,2003-3,2003-09,
SSA-DATES1.csv,2,01/19/2021,7/25/2003,2003-07-25,2003-07,4,2003-09,2003,2003-4,43,2003,2003-3,2003-09,
SSA-DATES1.csv,2,01/19/2021,8/1/2003,2003-08-01,2003-08,5,2003-09,2003,2003-4,44,2003,2003-3,2003-09,
SSA-DATES1.csv,2,01/19/2021,8/8/2003,2003-08-08,2003-08,5,2003-09,2003,2003-4,45,2003,2003-3,2003-09,
SSA-DATES1.csv,2,01/19/2021,8/15/2003,2003-08-15,2003-08,5,2003-09,2003,2003-4,46,2003,2003-3,2003-09,
SSA-DATES1.csv,2,01/19/2021,8/22/2003,2003-08-22,2003-08,5,2003-09,2003,2003-4,47,2003,2003-3,2003-09,
SSA-DATES1.csv,2,01/19/2021,8/29/2003,2003-08-29,2003-08,5,2003-09,2003,2003-4,48,2003,2003-3,2003-09,
SSA-DATES1.csv,2,01/19/2021,9/5/2003,2003-09-05,2003-09,4,2003-09,2003,2003-4,49,2003,2003-3,2003-09,
SSA-DATES1.csv,2,01/19/2021,9/12/2003,2003-09-12,2003-09,4,2003-09,2003,2003-4,50,2003,2003-3,2003-09,
SSA-DATES1.csv,2,01/19/2021,9/19/2003,2003-09-19,2003-09,4,2003-09,2003,2003-4,51,2003,2003-3,2003-09,
SSA-DATES1.csv,2,01/19/2021,9/26/2003,2003-09-26,2003-09,4,2003-09,2003,2003-4,52,2003,2003-3,2003-09,
SSA-DATES1.csv,2,01/19/2021,10/3/2003,2003-10-03,2003-10,5,2003-12,2004,2004-1,01,2003,2003-4,2003-12,
SSA-DATES1.csv,2,01/19/2021,10/10/2003,2003-10-10,2003-10,5,2003-12,2004,2004-1,02,2003,2003-4,2003-12,
SSA-DATES1.csv,2,01/19/2021,10/17/2003,2003-10-17,2003-10,5,2003-12,2004,2004-1,03,2003,2003-4,2003-12,
SSA-DATES1.csv,2,01/19/2021,10/24/2003,2003-10-24,2003-10,5,2003-12,2004,2004-1,04,2003,2003-4,2003-12,
SSA-DATES1.csv,2,01/19/2021,10/31/2003,2003-10-31,2003-10,5,2003-12,2004,2004-1,05,2003,2003-4,2003-12,
SSA-DATES1.csv,2,01/19/2021,11/7/2003,2003-11-07,2003-11,4,2003-12,2004,2004-1,06,2003,2003-4,2003-12,
SSA-DATES1.csv,2,01/19/2021,11/14/2003,2003-11-14,2003-11,4,2003-12,2004,2004-1,07,2003,2003-4,2003-12,
SSA-DATES1.csv,2,01/19/2021,11/21/2003,2003-11-21,2003-11,4,2003-12,2004,2004-1,08,2003,2003-4,2003-12,
SSA-DATES1.csv,2,01/19/2021,11/28/2003,2003-11-28,2003-11,4,2003-12,2004,2004-1,09,2003,2003-4,2003-12,
SSA-DATES1.csv,2,01/19/2021,12/5/2003,2003-12-05,2003-12,4,2003-12,2004,2004-1,10,2003,2003-4,2003-12,
SSA-DATES1.csv,2,01/19/2021,12/12/2003,2003-12-12,2003-12,4,2003-12,2004,2004-1,11,2003,2003-4,2003-12,
SSA-DATES1.csv,2,01/19/2021,12/19/2003,2003-12-19,2003-12,4,2003-12,2004,2004-1,12,2003,2003-4,2003-12,
