File Name,File Version,Update Date,Week Ending Date,Formatted Date,SSA Month,SSA Weeks in Month,SSA Quarter Date,Fiscal Year,Fiscal Quarter Number,Fiscal Week,Calendar Year,Calendar Quarter Number,Calendar Quarter Date,Notes,,Fiscal Quarter Number,
SSA-DATES1.csv,1,6/1/2010,6/28/2002,6/28/2002,2002-06,4,2002-06,2002,2002-3,39,2002,2002-2,2002-06,,,2002,3
SSA-DATES1.csv,1,6/1/2010,7/5/2002,7/5/2002,2002-07,4,2002-09,2002,2002-4,40,2002,2002-3,2002-09,,,2002,4
SSA-DATES1.csv,1,6/1/2010,7/12/2002,7/12/2002,2002-07,4,2002-09,2002,2002-4,41,2002,2002-3,2002-09,,,2002,4
SSA-DATES1.csv,1,6/1/2010,7/19/2002,7/19/2002,2002-07,4,2002-09,2002,2002-4,42,2002,2002-3,2002-09,,,2002,4
SSA-DATES1.csv,1,6/1/2010,7/26/2002,7/26/2002,2002-07,4,2002-09,2002,2002-4,43,2002,2002-3,2002-09,,,2002,4
SSA-DATES1.csv,1,6/1/2010,8/2/2002,8/2/2002,2002-08,5,2002-09,2002,2002-4,44,2002,2002-3,2002-09,,,2002,4
SSA-DATES1.csv,1,6/1/2010,8/9/2002,8/9/2002,2002-08,5,2002-09,2002,2002-4,45,2002,2002-3,2002-09,,,2002,4
SSA-DATES1.csv,1,6/1/2010,8/16/2002,8/16/2002,2002-08,5,2002-09,2002,2002-4,46,2002,2002-3,2002-09,,,2002,4
SSA-DATES1.csv,1,6/1/2010,8/23/2002,8/23/2002,2002-08,5,2002-09,2002,2002-4,47,2002,2002-3,2002-09,,,2002,4
SSA-DATES1.csv,1,6/1/2010,8/30/2002,8/30/2002,2002-08,5,2002-09,2002,2002-4,48,2002,2002-3,2002-09,,,2002,4
SSA-DATES1.csv,1,6/1/2010,9/6/2002,9/6/2002,2002-09,4,2002-09,2002,2002-4,49,2002,2002-3,2002-09,,,2002,4
SSA-DATES1.csv,1,6/1/2010,9/13/2002,9/13/2002,2002-09,4,2002-09,2002,2002-4,50,2002,2002-3,2002-09,,,2002,4
SSA-DATES1.csv,1,6/1/2010,9/20/2002,9/20/2002,2002-09,4,2002-09,2002,2002-4,51,2002,2002-3,2002-09,,,2002,4
SSA-DATES1.csv,1,6/1/2010,9/27/2002,9/27/2002,2002-09,4,2002-09,2002,2002-4,52,2002,2002-3,2002-09,,,2002,4
SSA-DATES1.csv,1,6/1/2010,10/4/2002,10/4/2002,2002-10,4,2002-12,2003,2003-1,1,2002,2002-4,2002-12,,,2003,1
SSA-DATES1.csv,1,6/1/2010,10/11/2002,10/11/2002,2002-10,4,2002-12,2003,2003-1,2,2002,2002-4,2002-12,,,2003,1
SSA-DATES1.csv,1,6/1/2010,10/18/2002,10/18/2002,2002-10,4,2002-12,2003,2003-1,3,2002,2002-4,2002-12,,,2003,1
SSA-DATES1.csv,1,6/1/2010,10/25/2002,10/25/2002,2002-10,4,2002-12,2003,2003-1,4,2002,2002-4,2002-12,,,2003,1
SSA-DATES1.csv,1,6/1/2010,11/1/2002,11/1/2002,2002-11,5,2002-12,2003,2003-1,5,2002,2002-4,2002-12,,,2003,1
SSA-DATES1.csv,1,6/1/2010,11/8/2002,11/8/2002,2002-11,5,2002-12,2003,2003-1,6,2002,2002-4,2002-12,,,2003,1
SSA-DATES1.csv,1,6/1/2010,11/15/2002,11/15/2002,2002-11,5,2002-12,2003,2003-1,7,2002,2002-4,2002-12,,,2003,1
SSA-DATES1.csv,1,6/1/2010,11/22/2002,11/22/2002,2002-11,5,2002-12,2003,2003-1,8,2002,2002-4,2002-12,,,2003,1
SSA-DATES1.csv,1,6/1/2010,11/29/2002,11/29/2002,2002-11,5,2002-12,2003,2003-1,9,2002,2002-4,2002-12,,,2003,1
SSA-DATES1.csv,1,6/1/2010,12/6/2002,12/6/2002,2002-12,4,2002-12,2003,2003-1,10,2002,2002-4,2002-12,,,2003,1
SSA-DATES1.csv,1,6/1/2010,12/13/2002,12/13/2002,2002-12,4,2002-12,2003,2003-1,11,2002,2002-4,2002-12,,,2003,1
SSA-DATES1.csv,1,6/1/2010,12/20/2002,12/20/2002,2002-12,4,2002-12,2003,2003-1,12,2002,2002-4,2002-12,,,2003,1
SSA-DATES1.csv,1,6/1/2010,12/27/2002,12/27/2002,2002-12,4,2002-12,2003,2003-1,13,2002,2002-4,2002-12,,,2003,1
SSA-DATES1.csv,1,6/1/2010,1/3/2003,1/3/2003,2003-01,5,2003-03,2003,2003-2,14,2003,2003-1,2003-03,,,2003,2
SSA-DATES1.csv,1,6/1/2010,1/10/2003,1/10/2003,2003-01,5,2003-03,2003,2003-2,15,2003,2003-1,2003-03,,,2003,2
SSA-DATES1.csv,1,6/1/2010,1/17/2003,1/17/2003,2003-01,5,2003-03,2003,2003-2,16,2003,2003-1,2003-03,,,2003,2
SSA-DATES1.csv,1,6/1/2010,1/24/2003,1/24/2003,2003-01,5,2003-03,2003,2003-2,17,2003,2003-1,2003-03,,,2003,2
SSA-DATES1.csv,1,6/1/2010,1/31/2003,1/31/2003,2003-01,5,2003-03,2003,2003-2,18,2003,2003-1,2003-03,,,2003,2
SSA-DATES1.csv,1,6/1/2010,2/7/2003,2/7/2003,2003-02,4,2003-03,2003,2003-2,19,2003,2003-1,2003-03,,,2003,2
SSA-DATES1.csv,1,6/1/2010,2/14/2003,2/14/2003,2003-02,4,2003-03,2003,2003-2,20,2003,2003-1,2003-03,,,2003,2
SSA-DATES1.csv,1,6/1/2010,2/21/2003,2/21/2003,2003-02,4,2003-03,2003,2003-2,21,2003,2003-1,2003-03,,,2003,2
SSA-DATES1.csv,1,6/1/2010,2/28/2003,2/28/2003,2003-02,4,2003-03,2003,2003-2,22,2003,2003-1,2003-03,,,2003,2
SSA-DATES1.csv,1,6/1/2010,3/7/2003,3/7/2003,2003-03,4,2003-03,2003,2003-2,23,2003,2003-1,2003-03,,,2003,2
SSA-DATES1.csv,1,6/1/2010,3/14/2003,3/14/2003,2003-03,4,2003-03,2003,2003-2,24,2003,2003-1,2003-03,,,2003,2
SSA-DATES1.csv,1,6/1/2010,3/21/2003,3/21/2003,2003-03,4,2003-03,2003,2003-2,25,2003,2003-1,2003-03,,,2003,2
SSA-DATES1.csv,1,6/1/2010,3/28/2003,3/28/2003,2003-03,4,2003-03,2003,2003-2,26,2003,2003-1,2003-03,,,2003,2
SSA-DATES1.csv,1,6/1/2010,4/4/2003,4/4/2003,2003-04,4,2003-06,2003,2003-3,27,2003,2003-2,2003-06,,,2003,3
SSA-DATES1.csv,1,6/1/2010,4/11/2003,4/11/2003,2003-04,4,2003-06,2003,2003-3,28,2003,2003-2,2003-06,,,2003,3
SSA-DATES1.csv,1,6/1/2010,4/18/2003,4/18/2003,2003-04,4,2003-06,2003,2003-3,29,2003,2003-2,2003-06,,,2003,3
SSA-DATES1.csv,1,6/1/2010,4/25/2003,4/25/2003,2003-04,4,2003-06,2003,2003-3,30,2003,2003-2,2003-06,,,2003,3
SSA-DATES1.csv,1,6/1/2010,5/2/2003,5/2/2003,2003-05,5,2003-06,2003,2003-3,31,2003,2003-2,2003-06,,,2003,3
SSA-DATES1.csv,1,6/1/2010,5/9/2003,5/9/2003,2003-05,5,2003-06,2003,2003-3,32,2003,2003-2,2003-06,,,2003,3
SSA-DATES1.csv,1,6/1/2010,5/16/2003,5/16/2003,2003-05,5,2003-06,2003,2003-3,33,2003,2003-2,2003-06,,,2003,3
SSA-DATES1.csv,1,6/1/2010,5/23/2003,5/23/2003,2003-05,5,2003-06,2003,2003-3,34,2003,2003-2,2003-06,,,2003,3
SSA-DATES1.csv,1,6/1/2010,5/30/2003,5/30/2003,2003-05,5,2003-06,2003,2003-3,35,2003,2003-2,2003-06,,,2003,3
SSA-DATES1.csv,1,6/1/2010,6/6/2003,6/6/2003,2003-06,4,2003-06,2003,2003-3,36,2003,2003-2,2003-06,,,2003,3
SSA-DATES1.csv,1,6/1/2010,6/13/2003,6/13/2003,2003-06,4,2003-06,2003,2003-3,37,2003,2003-2,2003-06,,,2003,3
SSA-DATES1.csv,1,6/1/2010,6/20/2003,6/20/2003,2003-06,4,2003-06,2003,2003-3,38,2003,2003-2,2003-06,,,2003,3
SSA-DATES1.csv,1,6/1/2010,6/27/2003,6/27/2003,2003-06,4,2003-06,2003,2003-3,39,2003,2003-2,2003-06,,,2003,3
SSA-DATES1.csv,1,6/1/2010,7/4/2003,7/4/2003,2003-07,4,2003-09,2003,2003-4,40,2003,2003-3,2003-09,,,2003,4
SSA-DATES1.csv,1,6/1/2010,7/11/2003,7/11/2003,2003-07,4,2003-09,2003,2003-4,41,2003,2003-3,2003-09,,,2003,4
SSA-DATES1.csv,1,6/1/2010,7/18/2003,7/18/2003,2003-07,4,2003-09,2003,2003-4,42,2003,2003-3,2003-09,,,2003,4
SSA-DATES1.csv,1,6/1/2010,7/25/2003,7/25/2003,2003-07,4,2003-09,2003,2003-4,43,2003,2003-3,2003-09,,,2003,4
