date_yearmon,SSDI,SSI,Concurrent,State,year,month
Sep 2006,63277.82321428587,78072.1875,63532.628571428824,NW,2006,9
Oct 2006,67281.00669642823,85887.01562499999,67022.50535714313,NW,2006,10
Nov 2006,56018.04464285712,73717.45089285714,55987.607142857065,NW,2006,11
Dec 2006,60890.6535714288,79301.86250000013,61274.166071428386,NW,2006,12
Jan 2007,55022.30357142859,67126.64508928574,53143.33147321429,NW,2007,1
Feb 2007,68216.95982142857,79452.7455357144,63491.53794642882,NW,2007,2
Mar 2007,72920.42321428562,86779.92142857157,69036.59821428584,NW,2007,3
Apr 2007,70513.90401785703,87321.92633928603,69576.86383928577,NW,2007,4
May 2007,70845.45535714336,88442.67857142912,70359.54241071467,NW,2007,5
Jun 2007,66791.1803571427,83910.96964285722,66567.68214285673,NW,2007,6
Jul 2007,64862.31250000007,79840.82366071444,64686.20982142861,NW,2007,7
Aug 2007,70769.79642857153,85779.83214285756,70645.43750000006,NW,2007,8
Sep 2007,62978.448660714304,79309.25446428568,62788.21428571433,NW,2007,9
Oct 2007,67948.45758928549,87532.81473214277,68978.98437499946,NW,2007,10
Nov 2007,60554.101785714345,78546.14285714304,60435.830357143124,NW,2007,11
Dec 2007,58416.08482142859,74876.24999999993,58454.131696428616,NW,2007,12
Jan 2008,57259.45982142865,72144.48437499997,56581.13839285715,NW,2008,1
Feb 2008,68313.05535714292,83619.63928571409,65727.60714285685,NW,2008,2
Mar 2008,72033.60491071438,87977.41964285671,70595.43303571398,NW,2008,3
Apr 2008,73233.71205357193,92441.94866071513,72642.35491071445,NW,2008,4
May 2008,68194.78392857149,87108.64642857116,68116.5160714287,NW,2008,5
Jun 2008,72522.77901785723,91903.85714285748,73368.5066964289,NW,2008,6
Jul 2008,66782.04910714274,82654.11830357138,67944.1093749999,NW,2008,7
Aug 2008,71186.35535714308,90830.71785714268,73623.96428571391,NW,2008,8
Sep 2008,67748.4397321426,88181.78571428549,68833.5366071428,NW,2008,9
Oct 2008,69256.61785714322,94104.05357142881,71798.58392857136,NW,2008,10
Nov 2008,60905.4375,81655.11607142858,63771.99776785707,NW,2008,11
Dec 2008,62902.354910714326,84136.859375,65540.63392857142,NW,2008,12
Jan 2009,64177.03392857124,82827.39464285725,65595.42142857109,NW,2009,1
Feb 2009,78389.60714285682,94127.96874999983,76063.31249999977,NW,2009,2
Mar 2009,86385.97321428618,104390.84151785701,82127.44084821464,NW,2009,3
Apr 2009,83340.0491071429,106297.53348214336,83003.06249999977,NW,2009,4
May 2009,80294.9946428573,103430.10357142914,80845.47857142835,NW,2009,5
Jun 2009,85992.45982142909,107607.4330357142,84709.30178571442,NW,2009,6
Jul 2009,82131.68035714274,101067.28392857124,80695.03035714297,NW,2009,7
Aug 2009,86118.55803571457,107884.6316964287,86210.95758928575,NW,2009,8
Sep 2009,82366.04910714272,105024.59374999948,83236.77901785682,NW,2009,9
Oct 2009,83279.39151785697,105987.72321428599,82629.11607142862,NW,2009,10
Nov 2009,74090.96249999983,95411.77901785706,73043.91250000017,NW,2009,11
Dec 2009,74611.44374999999,95688.97767857145,72741.27678571455,NW,2009,12
Jan 2010,73805.28482142862,90923.76964285655,69842.75714285711,NW,2010,1
Feb 2010,85613.0781249997,96953.22098214256,76207.89062500001,NW,2010,2
Mar 2010,93071.24397321469,107242.18303571368,83581.37500000038,NW,2010,3
Apr 2010,93044.8285714284,111719.53928571427,86589.46964285687,NW,2010,4
May 2010,90803.75892857122,110437.03348214304,85326.0959821429,NW,2010,5
Jun 2010,87175.17410714309,104191.91071428615,82876.42075892874,NW,2010,6
Jul 2010,91090.74107142822,104864.144642857,87868.71428571439,NW,2010,7
Aug 2010,97148.89062500047,111944.7767857142,92796.328125,NW,2010,8
Sep 2010,94227.97767857127,109149.96205357017,87882.84598214224,NW,2010,9
Oct 2010,92562.17678571474,113282.28749999948,88066.99285714264,NW,2010,10
Nov 2010,79989.31517857141,98085.60468749981,75841.77098214289,NW,2010,11
Dec 2010,82860.65848214253,101816.69866071428,78320.03571428539,NW,2010,12
Jan 2011,77876.73526785716,93135.2714285717,72889.11607142858,NW,2011,1
Feb 2011,87159.95535714288,96685.8058035717,77296.03125000001,NW,2011,2
Mar 2011,94636.70982142862,107436.76562499993,85772.87500000009,NW,2011,3
Apr 2011,91140.3107142856,109735.01428571383,85755.48214285678,NW,2011,4
May 2011,92326.72098214229,115393.99776785664,88994.90178571359,NW,2011,5
Jun 2011,87885.02008928565,105685.52232142873,83449.84151785722,NW,2011,6
Jul 2011,87966.11428571393,104522.37499999991,82997.0837053575,NW,2011,7
Aug 2011,90955.94642857181,107718.31249999975,85071.72544642843,NW,2011,8
Sep 2011,84361.44464285683,101696.0357142861,78488.74642857169,NW,2011,9
Oct 2011,86240.30803571364,105680.08705357069,79317.95089285716,NW,2011,10
Nov 2011,75913.8426339288,91600.93154761924,68265.15252976194,NW,2011,11
Dec 2011,77854.77678571433,95250.9675595236,69801.95639880947,NW,2011,12
Jan 2012,78797.25223214271,94062.745535714,70746.53348214312,NW,2012,1
Feb 2012,89400.37276785703,102463.49553571412,77730.85267857132,NW,2012,2
Mar 2012,94492.78392857099,108690.57321428687,81958.40401785709,NW,2012,3
Apr 2012,90536.34375000033,107730.27008928612,81028.97321428552,NW,2012,4
May 2012,94082.3125000002,112525.2633928567,84875.83839285733,NW,2012,5
Jun 2012,88281.79464285736,103497.06607142933,78760.07499999982,NW,2012,6
Jul 2012,86521.85491071393,99389.30803571422,76889.47321428602,NW,2012,7
Aug 2012,93894.46964285678,107823.5392857139,83698.4506696429,NW,2012,8
Sep 2012,89840.62946428564,105100.68749999975,78626.58482142843,NW,2012,9
Oct 2012,86705.56696428577,103661.42857142881,75446.95312500038,NW,2012,10
Nov 2012,76979.9160714283,90255.88392857152,65920.6678571429,NW,2012,11
Dec 2012,77108.84062500001,88787.27455357139,66546.04977678556,NW,2012,12
Jan 2013,79849.52008928561,86467.50223214288,65522.15401785709,NW,2013,1
Feb 2013,87962.20089285668,95394.7122767859,71137.54665178574,NW,2013,2
Mar 2013,94878.03571428565,102383.05357142896,76705.97857142828,NW,2013,3
Apr 2013,92625.66071428603,103191.82142857104,77409.08482142862,NW,2013,4
May 2013,90170.65892857172,102331.74464285675,74938.86428571408,NW,2013,5
Jun 2013,92994.17187500001,103003.76116071349,75846.98883928511,NW,2013,6
Jul 2013,85737.00223214293,90185.22544642868,67919.10714285714,NW,2013,7
Aug 2013,91871.68035714292,100595.93750000004,74143.14107142837,NW,2013,8
Sep 2013,88149.17410714357,96460.78571428548,70333.45312500007,NW,2013,9
Oct 2013,90610.26339285677,101225.34151785795,72448.85937500042,NW,2013,10
Nov 2013,75106.7053571429,83630.07499999966,59272.2482142859,NW,2013,11
Dec 2013,75216.49776785709,80836.56473214297,56885.51339285703,NW,2013,12
Jan 2014,74399.6857142857,78431.35,57110.20736607138,NW,2014,1
Feb 2014,87785.22857142873,84563.7453125,62729.83950892848,NW,2014,2
Mar 2014,97704.37500000047,92964.82142857148,67697.34821428564,NW,2014,3
Apr 2014,96935.39330357181,94843.25000000036,68245.22321428591,NW,2014,4
May 2014,92552.61071428614,92812.63392857123,66497.24107142852,NW,2014,5
Jun 2014,94256.24107142896,94107.3147321433,67296.22544642862,NW,2014,6
Jul 2014,88642.69642857135,85804.39955357145,61559.84374999987,NW,2014,7
Aug 2014,92658.27232142877,94142.31785714324,65839.68236607166,NW,2014,8
Sep 2014,90107.60982142894,90084.12946428571,62995.841517857,NW,2014,9
Oct 2014,87282.57499999984,92283.02142857107,62259.03660714319,NW,2014,10
Nov 2014,75668.16852678561,82905.6625,54838.37410714292,NW,2014,11
Dec 2014,79453.56082589278,84597.71573660716,55358.09441964298,NW,2014,12
Jan 2015,80302.8214285717,81047.23571428547,53924.81428571458,NW,2015,1
Feb 2015,87409.97767857094,88190.48214285716,57604.05580357138,NW,2015,2
Mar 2015,92712.6250000002,95869.42857142854,62388.17857142864,NW,2015,3
Apr 2015,93086.57142857183,99620.8504464285,64311.17633928591,NW,2015,4
May 2015,88209.61428571463,97968.74642857169,62356.87142857129,NW,2015,5
Jun 2015,89624.3058035715,99389.30803571412,63181.72767857173,NW,2015,6
Jul 2015,84424.05892857145,89719.31428571382,57725.153571428695,NW,2015,7
Aug 2015,87550.09888392876,93350.72544642849,59966.223214285455,NW,2015,8
Sep 2015,84995.63169642842,89984.12053571448,57855.165178571355,NW,2015,9
Oct 2015,79919.30892857141,89680.18035714366,55996.30357142849,NW,2015,10
Nov 2015,76229.63169642867,82181.24999999959,50404.50000000016,NW,2015,11
Dec 2015,75430.64732142887,83006.32366071451,50886.064732142775,NW,2015,12
Jan 2016,72842.15535714292,76198.97678571424,48127.774999999994,NW,2016,1
Feb 2016,84084.68080357126,86037.02901785709,54129.832589285514,NW,2016,2
Mar 2016,86980.59151785733,89286.23214285751,56775.720982142906,NW,2016,3
Apr 2016,84802.35357142882,88622.69464285694,56174.58035714277,NW,2016,4
May 2016,85389.14508928556,90022.16741071403,57457.30357142841,NW,2016,5
